RUN   1 10  F BODY ALONE
   0.95000  1645294.
 243.00000   9.06487  31.42000  11.17000   0.00000   1.00000
  -4.00000   0.00000   0.00000   0.00000       NaN       NaN   0.00000
  -2.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   2.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   4.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   6.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   8.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
  10.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
  12.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
  14.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
R
RUN   2 10  F WING ALONE
   0.95000  1645294.
 243.00000   9.06487  31.42000  11.17000   0.00000   1.00000
  -4.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  -2.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   2.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   4.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   6.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   8.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
  10.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
  12.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
  14.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
R
RUN   3 10  F HT ALONE
   0.95000  1645294.
 243.00000   9.06487  31.42000  11.17000   0.00000   1.00000
  -4.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  -2.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   2.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   4.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   6.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   8.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
  10.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
  12.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
  14.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
R
RUN   4 10  F VT ALONE
   0.95000  1645294.
 243.00000   9.06487  31.42000  11.17000   0.00000   1.00000
  -4.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  -2.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   2.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   4.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   6.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   8.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
  10.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
  12.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
  14.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
R
RUN   5 10  F BODY-WING
   0.95000  1645294.
 243.00000   9.06487  31.42000  11.17000   0.00000   1.00000
  -4.00000       NaN   0.00000       NaN       NaN  -0.00109       NaN
  -2.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000       NaN
   0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000       NaN
   2.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000       NaN
   4.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000       NaN
   6.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000       NaN
   8.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000       NaN
  10.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000       NaN
  12.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000       NaN
  14.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000       NaN
R
RUN   6 10  F BODY-HT
   0.95000  1645294.
 243.00000   9.06487  31.42000  11.17000   0.00000   1.00000
  -4.00000       NaN   0.00000       NaN       NaN  -0.00109       NaN
  -2.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000       NaN
   0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000       NaN
   2.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000       NaN
   4.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000       NaN
   6.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000       NaN
   8.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000       NaN
  10.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000       NaN
  12.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000       NaN
  14.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000       NaN
R
RUN   7 10  F BODY-VT-VF
   0.95000  1645294.
 243.00000   9.06487  31.42000  11.17000   0.00000   1.00000
  -4.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  -2.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   2.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   4.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   6.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   8.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
  10.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
  12.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
  14.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
R
RUN   8 10  F BODY-WING-HT
   0.95000  1645294.
 243.00000   9.06487  31.42000  11.17000   0.00000   1.00000
  -4.00000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
  -2.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   2.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   4.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   6.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
   8.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
  10.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
  12.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
  14.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00000
R
RUN   9 10  F BODY-WING-VT-VF
   0.95000  1645294.
 243.00000   9.06487  31.42000  11.17000   0.00000   1.00000
  -4.00000       NaN   0.00000       NaN       NaN  -0.00109   0.00000
  -2.00000  -0.00000   0.00000  -0.00000  -0.00000  -0.00000   0.00000
   0.00000  -0.00000   0.00000  -0.00000  -0.00000  -0.00000   0.00000
   2.00000  -0.00000   0.00000  -0.00000  -0.00000  -0.00000   0.00000
   4.00000  -0.00000   0.00000  -0.00000  -0.00000  -0.00000   0.00000
